fold,station_name,rows,mae,rmse,mse,r2,mean_residual,median_abs_error,p90_abs_error,max_abs_error
2,MAINZ,14,2.5253461578395826,2.800445454997997,7.8424947464189385,-5.513258348720812,-2.5253461578395826,2.851503224629056,3.57747384241963,4.4393293380200305
2,MANNHEIM,14,2.430024767025876,2.773032574586577,7.68970965971826,-4.687483370961428,2.3820562835340007,2.8439946434968277,4.132172583692173,4.216861869689097
2,SPEYER,14,2.209880736316541,2.734622178879569,7.4781584612200405,-3.682808493287948,2.209880736316541,1.6699377275859604,4.049816851719505,6.102320857160464
2,SANKT GOAR,14,2.471617068618071,2.727975435424726,7.4418499762807215,-5.154441330595025,2.471617068618071,2.5467844811901443,3.7337005492048863,3.850476407712108
2,BONN,15,2.1821579155654587,2.5239446240727736,6.370296465385854,-20.71691976836086,-2.1821579155654587,2.6334979538055165,3.2524534467494846,4.438038177576971
2,DÜSSELDORF,14,2.3398828059202117,2.4908001773739765,6.204085523606233,-10.692315025257901,2.3398828059202117,2.5912125398382386,3.2398174496833367,3.9984949796736515
2,KOBLENZ,14,1.7572014120225288,2.3020305360108795,5.2993445887265365,-1.094095845545164,1.2667934106049938,1.4643350894662746,4.416910771162139,4.722993976924343
2,DUISBURG-RUHRORT,14,2.2172939570411137,2.2976611580982373,5.279246797433333,-24.237374934071536,2.2172939570411137,2.3746898096947717,2.8215499427552233,2.983862497060983
2,Basel-Rheinhalle,43,1.7659581444695425,2.0695237617304256,4.282928600366852,0.6271242592485964,-1.5411961568663126,1.7297798317985098,2.843722736919086,5.615734257230542
2,DUISBURG-MEIDERICH SCHLEUSE UW,214,0.8694064340611942,1.8055177543605738,3.2598943613112494,-24879.028359877528,-0.7715531671578092,0.05324464696774989,3.9867618323832446,4.01594415151445
2,KÖLN,14,1.2881386466575842,1.5086818814404257,2.276121019386623,-10.152992994994454,-1.2634712694346177,1.204994659840267,2.1693098112024103,2.197189807187641
2,DUISBURG-MEIDERICH SCHLEUSE OW,213,0.7091761405076912,1.481715522636428,2.1954808900217433,-1550.734560814167,-0.6814285972707865,0.03148986289670219,3.2618633340728245,3.3141411765715567
2,LOBITH,21,1.202996695866253,1.4618690070779985,2.137060993855213,-1.9451371821567154,0.9404035837166453,1.2429054534459283,2.2429054534459283,3.216176274385248
2,WESEL,14,1.1543802425838956,1.304141093077211,1.7007839906526228,-2.7455467659316177,1.0992546559396743,1.3531755097378806,1.8159161686017342,2.1834815344745664
2,EMMERICH,14,0.967349548306026,1.2148484358553577,1.4758567221002095,-0.6720688874661336,0.3118274061728152,0.7637070122945211,2.071349019530284,2.561229049126595
2,REES,14,0.7050280027173252,1.0396733321017222,1.080920637483498,-0.5929356762914708,0.5436204391254661,0.2987926533794578,1.5283507786668253,2.602181732160844
2,BINGEN,15,0.6210251652011862,0.7629965313853273,0.5821637069060408,-0.770092352079178,-0.6128936988282069,0.5642478419874095,1.0351691530555513,1.5952871752172655
2,KONSTANZ-RHEIN,14,0.55710431147088,0.6171713698481408,0.38090049976023066,-0.5553437073542757,0.2446394842760924,0.6103768246928212,0.7977467674909974,0.975470795625597
2,WORMS,14,0.5241795360535286,0.5422261511487708,0.2940091989896097,-1.401075125081813,-0.42285259997331387,0.5220270708986732,0.7054521129779786,0.7882049539319809
2,RHEINWEILER,14,0.5182754390512636,0.5363033144832999,0.2876212451257733,0.0,-0.5182754390512636,0.5554690349792963,0.6507810665800207,0.7309495609279679
3,Koblenz UP,15,20.129312278470387,20.808790986227397,433.0057823084986,-81.84549406412602,20.129312278470387,22.76367394688649,26.012773848421315,27.355808972179858
3,KOBLENZ,15,8.175926913798401,8.799106676850984,77.42427831060358,-18.356069577650896,8.175926913798401,9.529990985438019,11.59749324132352,13.449292893881506
3,DUISBURG-MEIDERICH SCHLEUSE UW,211,6.159153962823174,6.410038552693618,41.08859424701849,-214736.44007038028,-6.155985831448177,6.497334425665027,7.094672226677524,7.832015000989671
3,SANKT GOAR,14,4.850089207006609,6.185103382672841,38.25550385435101,-101.71340760894243,-4.407691623180099,4.979833732797815,9.122096621872965,9.403353143258585
3,MAINZ,14,5.143604189443595,5.778049376822926,33.3858546010038,-8.12639818939574,-5.105855571826892,5.194125363810613,8.346348416624616,8.374109840531048
3,RHEINE UNTERSCHLEUSE,14,4.390430906284272,5.519668232683921,30.466737398900044,-85.5431960896291,-0.7388598647677368,4.400453148332559,8.424047917381852,11.837982277576458
3,DUISBURG-MEIDERICH SCHLEUSE OW,211,5.274511625175762,5.445902473122633,29.657853746763212,-61324.975191800106,-5.274511625175762,5.447647513642014,6.0806446575698345,6.925378802764445
3,IFFEZHEIM,15,3.792708300278368,4.617607953580841,21.322303212973047,-2.388077841044447,-3.792708300278368,3.247783827701369,7.010451018450669,10.388820522216292
3,BONN,14,4.313521892805986,4.3652765307752635,19.055639190137317,-112.17894791717927,-4.313521892805986,4.446655173650484,5.070509932309292,5.2824148391419214
3,KÖLN,14,3.254378660862971,3.5223003994123516,12.406600103700411,-14.997984344245262,-3.254378660862971,3.4700547248859124,4.72301775346813,5.130308203468417
3,Basel-Rheinhalle,42,2.861711603377078,3.349825947848303,11.221333880877783,0.13519887431218447,1.0664510540852943,2.5161523800049395,5.0857061258740375,7.536744328408531
3,BREISACH,14,2.9201717814407124,3.23306692212002,10.452721722906618,-1.2563143807155255,1.7354441230885373,2.872077792051172,4.622610938453761,5.309736985295785
3,DÜSSELDORF,15,2.7796512063602545,3.1490016600072126,9.916211454728181,-2.984192102346145,2.388149293137701,2.8195447528618303,4.7054234073399215,5.4655995279245815
3,EMMERICH,15,2.330190796171876,2.9564402435431356,8.740538913641396,-20.851347284103493,-0.7852132974750352,2.0094351633395178,4.6385840471944535,6.85124175714558
3,MAXAU,14,2.2634215766902464,2.4983017469813955,6.241511618970294,-4.0760841382496995,-2.2634215766902464,2.3293834665621205,3.5885810570137098,4.589138680113649
3,SPEYER,14,1.742627800143428,2.1835548877420288,4.767911947782104,-5.107913344871192,1.5867505350597315,1.4324870898285553,3.438965782281224,4.098313124290144
3,Koblenz OP,15,1.8099024988650418,1.9677643655476613,3.8720965983191897,-2.06768216416133,1.4086659123630416,1.9101123133146984,2.7080391345942756,3.089741104512143
